"","1","2","3","4","5","6","ID","city","buffer","7","8","total","grey","green","blue"
"257",503,32,197,0,345,10,"LG_PaLH1","LG","Buffer100",0,0,1087,513,574,0
"258",388,11,255,5,197,1,"LG_PaHH3","LG","Buffer100",0,0,857,389,468,0
"259",197,120,117,0,257,2,"LG_RuLx5","LG","Buffer100",0,0,693,199,494,0
"260",258,110,66,0,363,2,"LG_RuLx3","LG","Buffer100",0,0,799,260,539,0
"261",283,33,135,1,281,14,"LG_RuLx2","LG","Buffer100",0,0,747,297,450,0
"262",168,20,36,0,341,0,"LG_RuLx1","LG","Buffer100",0,0,565,168,397,0
"263",481,8,48,0,143,0,"LG_RuHx5","LG","Buffer100",0,0,680,481,199,0
"264",319,47,100,3,114,3,"LG_RuHx3","LG","Buffer100",0,0,586,322,264,0
"265",568,10,2,0,10,14,"LG_RuHx2","LG","Buffer100",0,0,604,582,22,0
"266",407,8,41,0,74,0,"LG_RuHx1","LG","Buffer100",0,0,530,407,123,0
"267",429,0,12,0,16,0,"LG_GaHH1","LG","Buffer100",0,0,457,429,28,0
"268",321,2,41,1,111,0,"LG_GaHH2","LG","Buffer100",0,0,476,321,155,0
"269",451,1,5,0,31,2,"LG_GaHH3","LG","Buffer100",0,0,490,453,37,0
"270",442,1,26,0,31,1,"LG_GaHL1","LG","Buffer100",0,0,501,443,58,0
"271",360,0,54,0,42,0,"LG_GaHL2","LG","Buffer100",0,0,456,360,96,0
"272",429,1,18,0,49,0,"LG_GaHL3","LG","Buffer100",0,0,497,429,68,0
"273",296,0,101,1,108,0,"LG_GaLH1","LG","Buffer100",0,0,506,296,210,0
"274",205,6,161,2,113,1,"LG_GaLH2","LG","Buffer100",0,0,488,206,282,0
"275",275,3,78,1,152,2,"LG_GaLH3","LG","Buffer100",0,0,511,277,234,0
"276",168,7,109,0,188,0,"LG_GaLL2","LG","Buffer100",0,0,472,168,304,0
"277",430,30,161,0,224,8,"LG_PaHH2","LG","Buffer100",0,0,853,438,415,0
"278",271,39,171,0,252,4,"LG_RuLx6","LG","Buffer100",0,0,737,275,462,0
"279",427,3,11,0,27,0,"LG_RuHx4","LG","Buffer100",0,0,468,427,41,0
"280",106,13,272,0,187,0,"LG_RuLx4","LG","Buffer100",0,0,578,106,472,0
"281",206,3,150,3,251,0,"LG_RuHx6","LG","Buffer100",0,0,613,206,407,0
"282",264,1,63,0,160,0,"LG_GaLL3","LG","Buffer100",0,0,488,264,224,0
"283",509,0,21,0,20,0,"LG_EsHL3","LG","Buffer100",0,0,550,509,41,0
"284",243,7,134,1,250,0,"LG_EsLL1","LG","Buffer100",0,0,635,243,392,0
"285",348,3,59,1,184,2,"LG_EsHH3","LG","Buffer100",0,0,597,350,247,0
"286",406,5,69,0,364,0,"LG_EsLL3","LG","Buffer100",0,0,844,406,438,0
"287",163,33,30,0,260,0,"LG_AlLx2","LG","Buffer100",0,0,486,163,323,0
"288",230,80,59,0,3,16,"LG_AlHx4","LG","Buffer100",0,0,388,246,142,0
"289",340,7,26,0,105,0,"LG_AlHx6","LG","Buffer100",0,0,478,340,138,0
